MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Target
0.19032151280671988,0.6274509803921569,0.029571925422108233,0.01995317823358859,0.06437960705176715,0.0024138154543210458,0.018065887353879026,0.7290836653386453,1.03
0.22845202135142964,0.9411764705882353,0.02571470013964561,0.020978417717548152,0.03674430337173127,0.0008415845962015205,0.13071200850159442,0.6165338645418329,3.821
0.25216203914428764,0.058823529411764705,0.03402509253751074,0.01932171089779786,0.025561254519465233,0.0016343469686741871,0.22529224229543005,0.3854581673306766,1.726
0.09948828292023558,0.6862745098039216,0.02237769268795402,0.020764905639369818,0.0396591832730738,0.0026572907515040513,0.015940488841657652,0.7211155378486056,0.934
0.2106384739520834,0.8235294117647058,0.03843863823747352,0.023741418764302063,0.024412119173743658,0.001293770505333966,0.4505844845908608,0.45318725099601603,0.965
0.42225624474145185,0.37254901960784315,0.03853594418834478,0.02002190937217806,0.07545054513859693,0.0021504493833320155,0.5185972369819342,0.24800796812748974,2.648
0.1392601481358878,0.5294117647058824,0.024805998311428924,0.02197852573244774,0.03789343871745284,0.002253233469002072,0.15940488841657804,0.6354581673306774,1.573
0.5164963241886319,0.7058823529411765,0.036909793997045075,0.018412147752154006,0.027915580593626504,0.001370770581190991,0.5706695005313491,0.18127490039840582,5.00001
0.06897146246258673,0.0784313725490196,0.019667993519398762,0.02023944181081047,0.02287059614899521,0.0015621026363268615,0.1689691817215731,0.6424302788844616,1.398
0.4087322933476779,0.0784313725490196,0.04171280391585194,0.02067021453754087,0.2641329633678074,0.0021746930607255957,0.15727948990435742,0.6533864541832662,3.156
0.2563274989310492,1.0,0.034711713184739895,0.024270161569932742,0.01821799938339079,0.0025159363754081155,0.5504782146652495,0.18924302788844552,2.319
0.1193362850167584,0.47058823529411764,0.016982386260766105,0.02187661110156384,0.04784326914992012,0.0018360936940687161,0.15196599362380436,0.5976095617529885,1.594
0.16379774072081763,0.23529411764705882,0.040011260304240674,0.026211436784559315,0.02093668544521988,0.0014024623417356016,0.5228480340063761,0.4611553784860557,0.96
0.11015710128136164,0.6862745098039216,0.015358423883713983,0.0224364586981538,0.09972252585554528,0.003977163055620926,0.5090329436769392,0.24601593625498017,1.875
0.1594874553454435,0.8823529411764706,0.027476246651676934,0.020365780129965833,0.019927688556293618,0.0013906118139401823,0.17428267800212538,0.5986055776892426,2.299
0.1839147046247638,0.6862745098039216,0.02983293095719227,0.019762845849802372,0.052383755150088286,0.0023737471990144354,0.14346439957492038,0.6095617529880474,1.177
0.16499772416932182,1.0,0.031965868022478215,0.021113382012659027,0.032680288124667174,0.0015857857792270147,0.4388947927736452,0.2689243027888437,1.696
0.26940318064578417,0.37254901960784315,0.035830860204482354,0.021299033447371045,0.05796126573054178,0.0017770639196809071,0.5834218916046758,0.29980079681274835,1.308
0.25745162135694677,0.6470588235294118,0.029406782124854078,0.018815566584445307,0.054513859693377055,0.0023895448337534924,0.18916046758767274,0.5896414342629475,1.574
0.06434394008358506,0.39215686274509803,0.015678164177961227,0.01986986487064968,0.03587544493960033,0.003170232737751998,0.14771519659936239,0.6045816733067727,0.941
0.11679838898773809,0.5882352941176471,0.027986628428351996,0.021444162586278098,0.029316965161579642,0.001962783733151094,0.17215727948990403,0.6982071713147406,0.727
0.5546544185597441,0.6666666666666666,0.04722891536150451,0.020323346729996347,0.03705260797668096,0.001682952445571836,0.4994686503719448,0.23605577689242951,5.00001
0.15290823574847245,0.4117647058823529,0.036832818764214355,0.02622165301300594,0.02928893747022058,0.0017986422170596771,0.6801275239107328,0.11952191235059657,0.958
0.07414380491303568,0.8235294117647058,0.022266546287139602,0.01985816504200399,0.03074637742089184,0.002289212846635478,0.1530286928799147,0.6045816733067727,0.975
0.12126729286492602,0.3333333333333333,0.04395608977744667,0.03472350485759669,0.006838756691611312,0.0013005393265620696,0.8873538788522846,0.2031872509960153,0.788
0.33911256396463496,1.0,0.04195681842040802,0.021991009842672247,0.02015191008716612,0.0013416339855794577,0.5685441020191285,0.20617529880478036,2.92
0.02243417332174729,0.27450980392156865,0.02980120959746183,0.03013833992094862,0.003979932172986911,0.002360047871572127,0.7375132837407008,0.27689243027888477,0.425
0.2071695562819823,0.8823529411764706,0.02058546500099147,0.019527573875399964,0.02542111606266992,0.0023488709599763396,0.16365568544102005,0.6065737051792822,1.875
0.2330519579040289,0.4117647058823529,0.027428185402151663,0.024083874857640516,0.022618346926763643,0.001652492535804879,0.13390010626992535,0.625498007968128,2.182
0.13711535013310164,0.5490196078431373,0.03725824154311141,0.026560257798142042,0.028476134420807757,0.002054426970421062,0.37407013815090345,0.354581673306772,0.875
